Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10658370,1,"Tuesday, February 19, 2013 12:47:22 UTC",64.5249,-150.7648,1.8,3.50, 9,"Central Alaska"
ci,11246698,2,"Tuesday, February 19, 2013 12:41:47 UTC",32.7737,-115.4323,1.8,10.50,13,"Southern California"
us,c000fa4a,6,"Tuesday, February 19, 2013 12:34:48 UTC",34.4662,28.3207,4.4,10.10,18,"eastern Mediterranean Sea"
ci,11246690,0,"Tuesday, February 19, 2013 12:34:01 UTC",33.5580,-116.5978,1.2,17.60,44,"Southern California"
us,c000fa48,6,"Tuesday, February 19, 2013 12:27:38 UTC",35.2458,140.9570,5.6,35.00,337,"near the east coast of Honshu, Japan"
nc,71940350,1,"Tuesday, February 19, 2013 12:22:43 UTC",36.6418,-121.1003,1.8,10.80,26,"Central California"
ak,10658352,2,"Tuesday, February 19, 2013 12:00:22 UTC",59.4028,-151.4061,2.7,43.80,29,"Kenai Peninsula, Alaska"
us,c000fa3u,7,"Tuesday, February 19, 2013 11:52:05 UTC",-10.3837,167.3494,4.8,10.00,86,"Santa Cruz Islands"
ci,11246682,0,"Tuesday, February 19, 2013 11:51:12 UTC",32.6522,-115.9390,1.4,7.90,27,"Southern California"
ci,11246674,2,"Tuesday, February 19, 2013 11:47:21 UTC",35.9300,-117.6373,1.0,4.50,20,"Central California"
ak,10658348,2,"Tuesday, February 19, 2013 11:40:57 UTC",62.1023,-145.2723,1.2,17.80,13,"Central Alaska"
ak,10658346,2,"Tuesday, February 19, 2013 11:31:32 UTC",63.1022,-151.4567,1.3,8.80,16,"Central Alaska"
us,c000fa3q,6,"Tuesday, February 19, 2013 11:08:27 UTC",-6.6816,104.3677,4.9,35.00,65,"Sunda Strait, Indonesia"
nc,71940300,2,"Tuesday, February 19, 2013 10:22:36 UTC",40.2142,-122.7865,2.1,10.40,20,"Northern California"
nc,71940295,1,"Tuesday, February 19, 2013 10:20:35 UTC",40.3948,-124.3598,2.7,29.10,16,"Northern California"
ci,11246658,2,"Tuesday, February 19, 2013 10:03:03 UTC",34.1202,-118.4538,1.5,5.90,33,"Greater Los Angeles area, California"
ci,11246650,3,"Tuesday, February 19, 2013 09:55:26 UTC",34.6272,-116.6217,2.8,6.30,118,"Southern California"
ld,60024003,1,"Tuesday, February 19, 2013 09:53:05 UTC",41.2380,-77.0555,2.3,10.80,43,"Pennsylvania"
ak,10658332,1,"Tuesday, February 19, 2013 09:48:21 UTC",62.2105,-151.1951,2.1,71.30,23,"Central Alaska"
nc,71940270,1,"Tuesday, February 19, 2013 09:43:24 UTC",38.8360,-122.8075,1.7,2.60,27,"Northern California"
ak,10658323,1,"Tuesday, February 19, 2013 09:22:10 UTC",64.0085,-148.9021,1.8,0.00,20,"Central Alaska"
nc,71940265,1,"Tuesday, February 19, 2013 09:09:49 UTC",37.2582,-121.6407,1.6,4.60,24,"Northern California"
nc,71940260,0,"Tuesday, February 19, 2013 08:58:28 UTC",38.8213,-122.8240,1.0,0.90,17,"Northern California"
ak,10658317,1,"Tuesday, February 19, 2013 08:36:03 UTC",61.2115,-149.5594,1.2,48.40, 5,"Southern Alaska"
nc,71940250,0,"Tuesday, February 19, 2013 08:18:11 UTC",40.7032,-124.3438,2.5,14.30,14,"offshore Northern California"
nc,71940245,1,"Tuesday, February 19, 2013 08:17:03 UTC",38.8218,-122.7845,1.9,2.10,28,"Northern California"
nc,71940240,1,"Tuesday, February 19, 2013 08:11:25 UTC",38.8227,-122.7852,1.2,2.30,22,"Northern California"
us,c000fa1q,3,"Tuesday, February 19, 2013 08:07:42 UTC",-56.1997,-26.9177,4.9,83.10,34,"South Sandwich Islands region"
ak,10658304,1,"Tuesday, February 19, 2013 08:07:00 UTC",63.1474,-149.6105,1.5,52.70, 8,"Central Alaska"
nc,71940230,1,"Tuesday, February 19, 2013 08:03:22 UTC",38.8257,-122.8258,1.5,2.10,26,"Northern California"
ci,11246642,0,"Tuesday, February 19, 2013 07:55:58 UTC",33.1880,-115.9823,2.1,7.40,99,"Southern California"
us,c000fa1d,6,"Tuesday, February 19, 2013 07:55:34 UTC",28.3728,104.9528,4.6,32.50,64,"eastern Sichuan, China"
ak,10658297,1,"Tuesday, February 19, 2013 07:51:55 UTC",61.3249,-149.7090,1.7,30.40,10,"Southern Alaska"
ak,10658296,2,"Tuesday, February 19, 2013 07:44:53 UTC",60.1020,-139.3497,1.6,6.20,13,"Southern Yukon Territory, Canada"
ak,10658294,1,"Tuesday, February 19, 2013 07:38:11 UTC",60.8505,-150.1934,1.4,12.60, 4,"Kenai Peninsula, Alaska"
nc,71940215,0,"Tuesday, February 19, 2013 07:31:04 UTC",38.8213,-122.7672,1.0,2.60,16,"Northern California"
ak,10658291,2,"Tuesday, February 19, 2013 07:02:45 UTC",51.4030,-177.4045,1.3,26.70, 9,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10658287,1,"Tuesday, February 19, 2013 06:35:37 UTC",62.4421,-150.1879,2.2,0.10,23,"Central Alaska"
nc,71940195,3,"Tuesday, February 19, 2013 06:32:39 UTC",37.3743,-121.7318,1.9,6.70,101,"San Francisco Bay area, California"
ci,11246594,0,"Tuesday, February 19, 2013 05:06:10 UTC",33.6437,-116.6883,1.2,16.40,53,"Southern California"
ci,11246586,0,"Tuesday, February 19, 2013 04:18:27 UTC",36.0363,-117.6670,1.2,0.20, 8,"Central California"
uu,60013587,3,"Tuesday, February 19, 2013 03:29:43 UTC",41.8520,-112.4048,1.8,2.30,19,"Utah"
uw,60507016,3,"Tuesday, February 19, 2013 03:24:45 UTC",47.8758,-121.6503,1.0,9.70,20,"Washington"
