Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000f8mb,8,"Saturday, February 16, 2013 19:06:00 UTC",-6.2603,130.2640,4.6,140.40,52,"Banda Sea"
nn,00403398,9,"Saturday, February 16, 2013 18:53:50 UTC",38.0203,-118.0505,1.8,12.10,29,"Nevada"
nn,00403396,9,"Saturday, February 16, 2013 18:40:09 UTC",38.7221,-119.5175,2.1,6.40,18,"Nevada"
nn,00403395,9,"Saturday, February 16, 2013 18:34:07 UTC",38.0217,-118.0447,1.1,6.80, 7,"Nevada"
us,c000f8lt,7,"Saturday, February 16, 2013 18:29:30 UTC",-11.1608,164.4640,5.2,35.10,99,"Santa Cruz Islands region"
nc,71938760,3,"Saturday, February 16, 2013 18:18:23 UTC",38.8305,-122.8043,2.0,0.80,69,"Northern California"
ci,11245482,0,"Saturday, February 16, 2013 17:49:36 UTC",33.3313,-117.5843,1.7,0.20,11,"Gulf of Santa Catalina, California"
ci,11245474,0,"Saturday, February 16, 2013 17:06:56 UTC",33.6867,-116.7657,1.1,11.00,32,"Southern California"
nn,00403384,9,"Saturday, February 16, 2013 16:54:55 UTC",38.0312,-118.0468,1.5,6.40,22,"Nevada"
ak,10657175,1,"Saturday, February 16, 2013 16:48:11 UTC",63.2983,-144.9337,1.1,6.50, 6,"Central Alaska"
nn,00403379,9,"Saturday, February 16, 2013 16:30:51 UTC",38.0392,-118.0347,1.8,7.00,33,"Nevada"
nn,00403376,9,"Saturday, February 16, 2013 16:24:44 UTC",38.0192,-118.0575,1.2,6.30,16,"Nevada"
ci,11245450,0,"Saturday, February 16, 2013 16:16:09 UTC",33.0095,-116.4762,1.6,6.30,66,"Southern California"
uw,60506601,5,"Saturday, February 16, 2013 16:09:14 UTC",47.3925,-122.1497,2.1,23.10,68,"Seattle-Tacoma urban area, Washington"
ci,11245442,0,"Saturday, February 16, 2013 15:47:38 UTC",36.1505,-117.9273,1.8,2.80,38,"Central California"
ak,10657160,1,"Saturday, February 16, 2013 15:45:57 UTC",61.7729,-151.2330,1.6,101.20, 9,"Southern Alaska"
us,c000f8iv,6,"Saturday, February 16, 2013 15:25:23 UTC",5.9090,127.3748,5.3,57.60,123,"Philippine Islands region"
nn,00403366,9,"Saturday, February 16, 2013 14:48:59 UTC",38.0326,-118.0405,1.9,8.20, 9,"Nevada"
ci,11245410,0,"Saturday, February 16, 2013 14:26:00 UTC",33.7108,-116.7647,1.2,18.30,56,"Southern California"
ci,11245402,0,"Saturday, February 16, 2013 14:13:09 UTC",34.1687,-116.8063,2.6,6.20,139,"Southern California"
nc,71938615,0,"Saturday, February 16, 2013 13:23:39 UTC",37.6320,-119.0240,1.2,5.30,19,"Long Valley area, California"
ci,11245394,0,"Saturday, February 16, 2013 13:19:27 UTC",36.0997,-117.7123,1.5,1.90,26,"Central California"
nc,71938595,0,"Saturday, February 16, 2013 13:06:35 UTC",38.7715,-122.7100,1.1,2.50,12,"Northern California"
ak,10657129,1,"Saturday, February 16, 2013 12:50:08 UTC",61.3551,-151.1912,1.5,4.60,11,"Southern Alaska"
nc,71938570,3,"Saturday, February 16, 2013 12:23:35 UTC",36.7695,-121.4433,1.8,9.30,65,"Central California"
hv,60450567,2,"Saturday, February 16, 2013 12:09:34 UTC",19.3808,-155.2835,2.4,2.50,24,"Island of Hawaii, Hawaii"
ak,10657114,1,"Saturday, February 16, 2013 12:00:03 UTC",63.2265,-150.4106,2.6,119.30,40,"Central Alaska"
ak,10657118,2,"Saturday, February 16, 2013 11:59:28 UTC",68.1342,-136.5452,3.3,25.40,12,"northern Yukon Territory, Canada"
ci,11245378,0,"Saturday, February 16, 2013 11:53:21 UTC",33.9130,-118.3523,1.5,8.30,34,"Greater Los Angeles area, California"
ak,10657110,1,"Saturday, February 16, 2013 11:50:07 UTC",62.7352,-150.9913,1.5,13.40, 7,"Central Alaska"
nc,71938555,2,"Saturday, February 16, 2013 11:41:08 UTC",40.9912,-121.6033,1.7,16.10,18,"Northern California"
ci,11245370,0,"Saturday, February 16, 2013 11:38:30 UTC",33.3163,-116.3565,1.1,12.00,28,"Southern California"
uw,60506561,1,"Saturday, February 16, 2013 11:26:58 UTC",47.8627,-121.6542,1.0,13.40, 8,"Washington"
nc,71938550,3,"Saturday, February 16, 2013 11:22:00 UTC",38.8360,-122.8303,1.5,2.60,52,"Northern California"
nc,71938540,5,"Saturday, February 16, 2013 11:01:40 UTC",38.8095,-122.8240,1.5,2.60,54,"Northern California"
nc,71938535,2,"Saturday, February 16, 2013 10:52:35 UTC",38.7778,-122.7545,1.1,0.70,49,"Northern California"
nn,00403355,9,"Saturday, February 16, 2013 10:27:22 UTC",38.0280,-118.0358,2.5,8.50,13,"Nevada"
ak,10657097,1,"Saturday, February 16, 2013 10:13:38 UTC",59.0376,-154.4705,3.2,194.40,14,"Southern Alaska"
ci,11245354,0,"Saturday, February 16, 2013 10:10:12 UTC",34.0535,-117.2877,1.5,17.30,46,"Greater Los Angeles area, California"
uw,60506546,1,"Saturday, February 16, 2013 10:10:11 UTC",42.1300,-120.5143,1.7,6.00,11,"Oregon"
ak,10657087,1,"Saturday, February 16, 2013 09:49:04 UTC",65.9348,-148.1808,2.0,4.30,13,"northern Alaska"
us,c000f8g1,7,"Saturday, February 16, 2013 09:47:02 UTC",-6.5314,129.8660,4.5,168.90,27,"Banda Sea"
ak,10657086,1,"Saturday, February 16, 2013 09:46:00 UTC",62.0099,-144.9022,1.7,5.20, 7,"Central Alaska"
nc,71938500,2,"Saturday, February 16, 2013 09:39:48 UTC",38.8210,-122.7635,1.2,2.60,46,"Northern California"
ak,10657079,1,"Saturday, February 16, 2013 09:11:19 UTC",60.7213,-147.4332,2.2,12.90,24,"Southern Alaska"
ci,11245338,0,"Saturday, February 16, 2013 09:03:22 UTC",32.3030,-115.4072,2.4,26.20,19,"Baja California, Mexico"
nn,00403347,9,"Saturday, February 16, 2013 09:00:00 UTC",38.0373,-118.0407,1.6,7.20,17,"Nevada"
nn,00403375,9,"Saturday, February 16, 2013 08:55:40 UTC",38.0412,-118.0243,2.7,7.80,16,"Nevada"
nn,00403346,9,"Saturday, February 16, 2013 08:55:03 UTC",38.0416,-118.0189,2.0,7.20,15,"Nevada"
ci,11245322,0,"Saturday, February 16, 2013 08:54:33 UTC",33.0387,-116.4340,1.0,2.90,17,"Southern California"
nm,021613b,B,"Saturday, February 16, 2013 08:50:48 UTC",35.6921,-93.0167,1.8,12.60, 9,"Arkansas"
